health_key,prevalence_stunting,prevalence_overweight,prevalence_diabetes,prevalence_hiv,immunization_bcg,immunization_dpt,immunization_hep,immunization_pol,immunization_measles_1,immunization_measles_2,death_rate_stillbirth,death_rate_infant,num_surgical_procedure,num_hospital_beds,num_nurse_midwife,num_physician,domestic_health_expenditure
1,8.2,57.1,,0.3,99,98,88,95,98,88,4279,10716,,4,,,3.9133997
2,,57.6,,0.3,99,91,84,92,97,91,4151,10454,,,,,4.01898909
3,,58.2,,0.3,99,91,85,92,94,84,4070,10242,,,,,4.25491619
4,,58.7,,0.3,99,93,90,94,96,88,3983,10043,,,,,4.50853157
5,,59.2,,0.4,99,94,94,97,96,96,3894,9821,,,,,5.66982412
6,,59.7,,0.4,99,94,94,95,95,94,3624,9554,,4.5,,,5.56834602
7,,60.2,5.5,0.4,99,91,91,93,95,91,3660,9228,,4.39,,,5.68118334
8,,60.7,,0.4,99,91,91,90,94,89,3831,8861,,4.59,,,6.13486385
9,,61.2,,0.4,99,94,94,90,94,83,3915,8479,,4.78,,3.9385,6.22041893
10,,61.8,,0.4,99,94,94,92,95,96,3939,8102,,4.84,,,6.32730198
11,,62.3,,0.4,96,94,94,93,89,87,3871,7719,,4.96,,3.99,6.8243742
12,,62.7,,0.4,92,92,92,87,90,88,3956,7322,,4.95,2.5821,4.0013,5.59118652
13,,,,0.4,95,86,86,84,89,89,3978,6915,,4.99,2.5996,3.9901,6.59935617
14,,,,0.4,93,86,86,84,94,99,4042,6503,,,,,5.93580294
15,7.9,,,0.4,93,86,86,84,94,89,4042,6095,,,,,5.93055725
16,,,,0.4,,,,,,,,5719,,,,,
17,45.9,13.8,,,97,93,45,94,88,,122962,164247,,0.3,0.2839,0.3084,0.53574222
18,45.1,14.3,,,97,94,86,95,83,,117169,154428,,,0.2841,0.3167,0.57358515
19,43.2,14.8,,,98,94,95,96,89,,111577,145123,,,0.1625,0.3293,0.58525318
20,,15.3,,,99,96,96,96,92,,106072,136430,,,0.1623,0.342,0.53093374
21,,15.8,,,99,97,97,97,93,,100388,128488,,,0.1714,0.3544,0.52133471
22,,16.4,,,98,94,94,94,88,,95370,121238,,,0.183,0.3635,0.5637666
23,41.3,17,10.5,,99,96,96,96,93,,91585,114654,161,0.6,0.1932,0.3839,0.57771218
24,,17.6,,,98,94,94,94,88,41,88795,108655,,,0.2067,0.4001,0.56256449
25,38.7,18.2,,,99,96,96,96,91,82,87221,103023,,,0.21,0.4218,0.52373934
26,36.2,18.8,,,99,97,97,97,94,89,85672,97777,,0.6,0.256,0.4887,0.50554109
27,,19.4,,,99,98,98,98,97,90,82980,92739,,0.77,0.275,0.4858,0.46535748
28,,20,,,99,98,98,98,97,92,80551,87900,,0.79,0.2639,0.4974,0.40610689
29,,,,,99,98,98,98,97,93,78097,83233,,,0.3163,0.5433,0.40603626
30,30.9,,,,99,98,98,98,97,93,75365,78659,,,0.4123,0.5809,0.42589214
31,28,,,,99,98,98,98,97,95,72508,74306,,,0.3916,0.6367,0.46258456
32,,,,,,,,,,,,70272,,,,,
33,,49.5,,0.4,99,99,98,99,98,61,28915,71001,,2.52,,1.6663,3.34525847
34,,50.2,,0.4,99,99,99,99,99,55,27918,65431,,2.48,,1.7007,3.54130602
35,7,50.8,,0.4,99,99,99,99,99,49,27103,60568,,2.47,,1.7306,3.48463106
36,,51.5,,0.4,99,99,96,99,99,56,26475,56392,,2.44,,1.7802,3.50442195
37,,52.1,,0.5,99,99,99,99,99,55,26053,52929,,2.43,,1.8171,3.70741892
38,,52.7,,0.5,99,99,96,99,99,53,25632,50020,,2.37,,1.8139,3.57701063
39,,53.4,10.1,0.5,99,99,98,98,99,71,25359,47673,,2.31,,1.8491,3.46568108
40,,54,,0.5,99,95,96,96,99,70,25169,45811,,2.27,,,3.35463285
41,,54.6,,0.5,99,97,96,96,98,69,24962,44313,,2.25,7.5635,1.882,3.55113888
42,,55.3,,0.5,99,93,96,96,97,89,24787,43119,,2.22,8.788,,3.69886541
43,,55.9,,0.5,99,96,96,98,96,80,24389,42104,13940,2.15,9.1081,,3.85384679
44,,56.5,,0.5,90,89,89,72,95,77,24467,44108,,2.11,9.351,,3.94843602
45,,,,0.5,91,89,93,75,91,76,23051,40403,,2.09,9.737,2.1652,3.95314622
46,,,,0.5,92,87,93,85,92,76,22369,39558,,,10.119,,3.88923883
47,,,,0.5,79,73,80,85,91,54,21771,38646,,,7.4008,2.3106,3.90755868
48,,,,0.6,,,,,,,,37657,,,,,
49,,58.6,,,,93,14,93,94,,1037,1800,,3.1,9.9467,,6.59905815
50,,59.2,,,,95,14,95,93,,1083,1825,,3.02,10.0236,1.9086,6.4866991
51,,59.7,,,,94,14,99,94,,1129,1845,,2.96,10.1208,,6.57271051
52,,60.2,,,,92,28,96,93,,1138,1860,,2.85,10.289,1.959,6.70117044
53,,60.7,,,,91,42,93,91,,1126,1869,,2.8,10.3743,,7.52118206
54,,61.2,,,,89,56,90,90,,1114,1871,,2.78,9.3233,2.0384,7.47694063
55,,61.7,8.4,,,87,70,87,88,,1116,1866,,2.8,9.2368,,7.30276871
56,,62.2,,,,91,70,91,89,83,1110,1855,,2.79,9.3473,2.3962,7.4011817
57,,62.7,,,,91,55,91,90,86,1107,1839,,2.72,9.4788,2.4509,7.3582077
58,,63.2,,,,91,55,91,90,86,1114,1820,,2.67,9.7475,2.4961,7.23180246
59,,63.7,,,,91,69,91,89,86,1097,1799,,2.62,9.8188,2.5388,7.58065939
60,,64.1,,,,91,70,91,89,86,1087,1777,,2.6,9.9194,2.3105,7.67784119
61,,,,,,91,71,91,90,87,1089,1757,,2.53,9.9491,2.6102,7.56277943
62,,,,,,91,71,91,90,87,1083,1736,,2.55,9.9874,2.4251,7.58277988
63,,,,,,91,74,91,90,87,1072,1715,,2.52,11.812,2.4425,7.60929585
64,,,,,,,,,,,,1692,,,,,
65,16,52.7,,0.4,94,93,93,93,96,73,7390,15136,,,,1.4146,4.35741186
66,,53.3,,0.4,96,93,93,94,95,85,7163,14425,,1,,1.4521,4.56695986
67,,53.9,,0.4,93,93,93,93,93,93,6951,13734,,1,,1.494,4.58606243
68,,54.5,,0.4,93,92,92,92,95,70,6784,13083,,,,1.545,4.74562693
69,,55.1,,0.4,90,92,92,92,89,71,6584,12494,,,,1.5999,5.2679739
70,12.6,55.6,,0.4,84,88,88,88,88,74,6455,11950,,1.48,,1.6493,5.10725737
71,,56.2,9.8,0.4,83,85,85,85,88,76,6276,11460,,1.45,,3.0548,4.98383522
72,,56.8,,0.4,89,91,92,91,94,80,6130,11019,,1.48,,3.1599,4.71287298
73,,57.4,,0.4,85,91,91,91,92,72,5995,10612,,1.54,,3.2782,4.90206432
74,,57.9,,0.4,89,90,90,90,91,88,5849,10239,,1.59,,3.4065,5.05892658
75,,58.5,,0.4,90,91,91,91,94,86,5718,9896,27385,1.61,,3.4971,5.32889223
76,12.7,59,,0.4,88,91,91,91,93,87,5601,9575,,1.68,,3.5929,5.29663372
77,,,,0.4,91,92,92,92,93,89,5486,9251,,1.7,,3.7157,5.4549818
78,,,,0.4,89,92,92,92,95,88,5368,8925,,1.71,,3.8441,5.46089888
79,,,,0.4,89,92,92,92,95,88,5237,8592,,,,,5.54188728
80,,,,0.4,,,,,,,,8268,,,,,
81,,14.2,,,86,65,8,65,68,,734078,1528934,,0.41,1.2907,0.5885,0.76303685
82,47.8,14.6,,,86,65,6,66,69,,699284,1463875,,0.42,,0.6012,0.7453534
83,,15.1,,,87,64,6,67,70,,659445,1395098,,0.41,,0.6182,0.73512703
84,,15.6,,,86,70,29,69,72,,617056,1323292,,0.41,,0.6342,0.79527897
85,,16,,,88,74,37,73,78,,574990,1248851,,0.44,,0.6518,0.89261264
86,,16.5,,,89,79,38,76,82,,535683,1173533,,0.47,,0.6858,0.85750186
87,,17,9,,90,82,44,79,84,27,504042,1100313,,0.63,,0.7376,0.93731916
88,,17.5,,,90,82,73,79,83,36,482850,1029855,,0.49,,0.6982,0.93186861
89,,18,,,91,83,70,82,83,51,463107,964793,,0.49,,0.717,0.86504191
90,38.7,18.6,,,89,85,79,84,85,60,445156,905320,,0.52,,0.7247,0.85653549
91,37.9,19.1,,,87,87,87,86,87,69,421034,851108,,0.58,,0.7329,0.92193186
92,,19.7,,,89,88,88,86,88,76,396509,802055,,0.48,,0.759,0.94049966
93,34.7,,,,92,89,89,89,90,80,373106,757238,,0.53,2.1079,0.7779,0.96734679
94,,,,,92,90,90,90,93,82,354026,716249,,,1.7271,0.6857,0.8878178
95,,,,,92,91,91,90,95,84,340622,680527,,,2.3885,0.9281,0.9882924
96,,,,,,,,,,,,647688,,,,,
97,,58.9,,0.3,99,98,98,98,96,97,18512,44987,,1.05,2.2053,3.5303,2.46497631
98,15.5,59.5,,0.3,99,98,98,98,96,91,18000,43211,,1.02,2.2215,3.762,2.4219811
99,,60.1,,0.3,99,98,98,98,96,85,17560,41560,,1.06,2.2832,3.843,2.52675962
100,,60.6,,0.3,99,96,97,96,96,94,17321,40080,,1.03,2.3066,3.8988,2.61655498
101,,61.2,,0.3,99,95,95,95,96,92,17106,38731,,1.02,2.3624,3.9581,2.86067677
102,,61.7,,0.3,98,95,93,95,95,91,16826,37469,,1.05,2.4118,3.9972,2.8809936
103,,62.3,15.6,0.3,99,97,98,97,98,97,16514,36250,,1.04,2.5093,4.2008,2.91415977
104,13.6,62.8,,0.3,99,99,99,99,99,92,16133,35073,,1.03,2.5488,4.2236,3.00721955
105,,63.3,,0.3,91,83,82,83,89,76,15793,33910,,1.03,2.8044,4.311,3.12253189
106,,63.9,,0.3,96,87,84,87,97,95,15485,32728,,1.03,2.6798,4.4526,2.89231014
107,12.4,64.4,,0.3,98,87,82,87,97,96,15333,31538,1303,1,2.4177,4.6493,2.98734331
108,10,64.9,,0.3,99,93,93,96,96,98,15271,30368,,1,2.5103,4.6488,2.84779787
109,,,,0.3,94,85,58,85,76,62,15287,29178,,0.99,2.5078,4.7654,2.75801349
110,,,,0.3,96,88,55,88,97,99,15296,28010,,0.98,3.149,4.8496,2.6718502
111,14.1,,,0.4,76,82,56,82,73,73,15136,26892,,,2.3646,,2.67891455
112,,,,0.4,,,,,,,,25833,,,,,
113,,21.1,,0.1,78,63,65,63,61,,204631,384015,,0.7,,0.7882,0.59058839
114,,21.7,,0.1,77,59,60,58,59,,204854,381280,,1.25,,,0.48937705
115,,22.3,,0.1,77,54,54,54,57,,205464,378820,,1,,0.7619,0.66952825
116,,22.9,,0.1,75,53,53,53,56,,206083,376599,,0.6,0.5297,0.7806,0.56152743
117,,23.6,,0.1,74,52,52,52,56,30,206320,374353,,0.6,0.5443,0.7951,0.56858444
118,,24.2,,0.1,74,52,52,52,57,34,204648,371903,,0.6,0.5595,0.8076,0.57170916
119,43.6,24.9,7.9,0.1,83,63,63,63,59,38,202505,369184,,0.6,,0.8311,0.6115551
120,,25.6,,0.1,84,64,64,64,63,42,200818,366119,,0.6,,0.859,0.67824304
121,45,26.3,,0.1,84,65,65,65,68,43,200410,362935,,0.6,0.5279,0.8771,0.70266861
122,,27,,0.1,85,69,69,69,71,48,199859,359330,,0.6,,0.8972,0.698412
123,,27.7,,0.1,86,72,72,72,75,54,197845,355133,,0.6,,0.9262,0.74002051
124,,28.4,,0.1,86,75,75,75,75,67,197426,350501,,0.63,,0.962,0.8632797
125,,,,0.1,86,75,75,75,76,67,196154,345261,,0.63,0.5986,1.0005,0.91669148
126,37.6,,,0.1,87,75,75,75,73,67,193816,339097,,,,0.9801,1.14399576
127,,,,0.1,88,75,75,75,75,71,190483,331941,,,0.4832,1.1179,1.08106327
128,,,,0.2,,,,,,,,323919,,,,,
129,,61.9,,,,96,93,92,92,86,12382,27762,,3.2,9.9177,,6.62940884
130,3.1,62.5,,,,96,93,93,92,86,12336,27585,,3.18,,,6.80890989
131,,63.1,,,,96,93,93,92,86,12454,27261,,3.14,,,6.9233551
132,2.3,63.7,,,,96,94,94,92,87,12805,26788,,3.13,,,7.25172758
133,,64.2,,,,95,92,93,90,88,12247,26200,,3.08,,,7.87523222
134,2.8,64.8,,0.5,,95,92,93,92,89,12147,25530,,3.05,12.5927,,7.94476509
135,,65.3,9.4,0.5,,96,91,94,92,90,11987,24844,,2.97,,,7.92789316
136,2.2,65.8,,0.5,,94,90,93,91,91,11883,24184,,2.93,,,7.90049934
137,,66.4,,0.5,,94,91,93,92,91,11799,23594,,2.89,,,7.94619036
138,2.4,66.9,,0.5,,95,92,93,92,92,11795,23089,,2.83,,,8.23888111
139,,67.4,,0.5,,95,92,93,92,93,11810,22671,,2.8,,,8.45250511
140,3.5,67.9,,0.4,,95,93,94,92,94,11849,22334,,2.77,,,8.55732727
141,,,,0.4,,95,93,94,92,94,11861,22068,,2.87,14.5812,,8.51218987
142,3.4,,,0.4,,94,91,93,92,94,11855,21847,,,15.685,2.6036,8.47234249
143,,,,0.4,,94,91,93,90,95,11844,21652,,,,,8.52492332
144,,,,,,,,,,,,21451,,,,,
