population_key,population_total,population_male,population_female,population_urban,population_urban_percentage,population_urban_growth,population_rural,population_rural_percentage,population_rural_growth,life_expectancy_total,life_expectancy_male,life_expectancy_female,net_migration
1,38892924,18897365,19995559,35015688,90.031,1.22638308678468,3877236,9.96899999999999,-0.664499364401251,74.451,71.008,77.831,
2,39289876,19095976,20193900,35439468,90.2,1.20299247011043,3850408,9.8,-0.69434119334613,74.62,71.179,77.996,
3,39684303.0,19293169.0,20391134.0,35861117.0,90.366,1.18275022667788,3823186.0,9.634,-0.709501028965398,74.787,71.347,78.16,-120000.0
4,40080159,19490949,20589210,36284568,90.53,1.17389103087434,3795591,9.47,-0.72439764731213,74.952,71.513,78.323,
5,40482786,19692182,20790604,36714243,90.691,1.1772245502055,3768543,9.309,-0.715167533627052,75.116,71.676,78.485,
6,40788453,19846543,20941910,37055902,90.849,0.926286488598646,3732551,9.151,-0.959654050967754,75.278,71.837,78.646,
7,41261490,20082606,21178884,37543830,90.99,1.30814131603172,3717660,9.01000000000001,-0.399747599889796,75.439,71.995,78.806,
8,41733271.0,20318174.0,21415097.0,38027774.0,91.121,1.28077370283392,3705497.0,8.879,-0.327704530158683,75.598,72.151,78.966,30000.0
9,42202935,20552749,21650186,38509756,91.249,1.25948243003778,3693179,8.751,-0.332978802729149,75.756,72.306,79.124,
10,42669500,20785770,21883730,38990109,91.377,1.2396386789085,3679391,8.623,-0.374035541874903,75.913,72.46,79.281,
11,43131966,21016705,22115261,39467043,91.503,1.21579706300955,3664923,8.497,-0.393992378745193,76.068,72.614,79.434,
12,43590368,21245521,22344847,39940546,91.627,1.19260291906809,3649822,8.373,-0.412892628615815,76.221,72.768,79.583,
13,44044811.0,21472290.0,22572521.0,40410674.0,91.749,1.17019595911431,3634137.0,8.251,-0.43067305139086,76.372,72.924,79.726,24000.0
14,44494502,21696699,22797803,40877099,91.87,1.14760215897919,3617403,8.13,-0.461530370218559,76.52,73.082,79.863,
15,44938712,21918496,23020216,41339571,91.991,1.12501972603644,3599141,8.009,-0.506115918707072,76.667,73.242,79.995,
16,45376763,22137442,23239321,41796990,92.111,1.10041505272326,3579773,7.889,-0.539581529777376,,,,
17,139035505,71221594,67813911,37274029,26.809,4.11135670857974,101761476,73.191,0.539656217107946,67.773,66.949,68.715,
18,140921154,72087511,68833643,38777274,27.517,3.95375426974228,102143880,72.483,0.375080337096801,68.213,67.318,69.24,
19,142660381.0,72855838.0,69804543.0,40283012.0,28.237,3.8095488240978,102377369.0,71.763,0.228327474606987,68.648,67.679,69.761,-3254778.0
20,144304164,73565712,70738452,41802030,28.968,3.70150613260051,102502134,71.032,0.121793555329638,69.072,68.031,70.272,
21,145924795,74272292,71652503,43352797,29.709,3.64263195382955,102571998,70.291,0.068135363559973,69.485,68.37,70.773,
22,147575433,75015692,72559741,44954428,30.462,3.62780430377557,102621005,69.538,0.0477667368919127,69.881,68.694,71.257,
23,149273134,75809694,73463440,46610536,31.225,3.61773444758679,102662598,68.775,0.0405224771597168,70.256,68.996,71.721,
24,151005733.0,76643893.0,74361840.0,48311264.0,31.993,3.5838132582531,102694469.0,68.007,0.0310395943236583,70.606,69.273,72.159,-2306839.0
25,152761413,77504601,75256812,50047694,32.762,3.53116881944793,102713719,67.238,0.0187431671967787,70.93,69.526,72.571,
26,154517385,78368220,76149165,51817405,33.535,3.47496659160657,102699980,66.465,-0.0133769072728521,71.231,69.759,72.955,
27,156256287,79217157,77039130,53608407,34.308,3.39798061026891,102647880,65.692,-0.0507431644215006,71.514,69.978,73.316,
28,157977151,80048910,77928241,55423124,35.083,3.32910045953364,102554027,64.917,-0.0914738151475979,71.785,70.192,73.655,
29,159685421.0,80869068.0,78816353.0,57259998.0,35.858,3.26053573537605,102425423.0,64.142,-0.125479912131817,72.052,70.409,73.978,-1847503.0
30,161376713,81677117,79699596,59115518,36.632,3.18911971165231,102261195,63.368,-0.160467779325435,72.32,70.637,74.291,
31,163046173,82473791,80572382,60987421,37.405,3.11741679356148,102058752,62.595,-0.198162802231863,72.591,70.877,74.595,
32,164689383,83259108,81430275,62873466,38.177,3.04566007142533,101815917,61.823,-0.238219996657073,,,,
33,186127108,92002092,94125016,154176529,82.834,1.5244645710207,31950579,17.166,-0.661062614587972,71.896,68.166,75.775,
34,188167353,92970772,95196581,156447982,83.143,1.46253332118772,31719371,16.857,-0.726273591543747,72.26,68.536,76.122,
35,190130445.0,93900509.0,96229936.0,158660054.0,83.448,1.40403168822088,31470391.0,16.552,-0.788043127920014,72.618,68.905,76.457,0.0
36,192030362,94798466,97231896,160823508,83.749,1.3543651865177,31206854,16.251,-0.840938535382042,72.966,69.266,76.779,
37,193886505,95674549,98211956,162949974,84.044,1.31357056360001,30936531,15.956,-0.870003155034242,73.3,69.616,77.085,
38,195713637,96536269,99177368,165055096,84.335,1.28360875894277,30658541,15.665,-0.902643274670361,73.619,69.95,77.378,
39,197514541,97385186,100129355,167158531,84.631,1.26633162387043,30356010,15.369,-0.991676491378618,73.921,70.265,77.658,
40,199287292.0,98220331.0,101066961.0,169240747.0,84.923,1.2379590138736,30046545.0,15.077,-1.02468416362962,74.209,70.56,77.929,15924.0
41,201035904,99043431,101992473,171300683,85.209,1.20981527868807,29735221,14.791,-1.04154438797288,74.483,70.838,78.193,
42,202763744,99855752,102907992,173346780,85.492,1.18737043423465,29416964,14.508,-1.07607207068139,74.745,71.099,78.45,
43,204471759,100657516,103814243,175375428,85.77,1.16348820828163,29096331,14.23,-1.09594309887831,74.994,71.345,78.698,
44,206163056,101450192,104712864,177386817,86.042,1.14037759212483,28776239,13.958,-1.10620718629365,75.23,71.578,78.934,
45,207833825.0,102232088.0,105601737.0,179379296.0,86.309,1.11697812273061,28454529.0,13.691,-1.12426724243651,75.456,71.804,79.156,106000.0
46,209469320,102996239,106473081,181335496,86.569,1.08463485344243,28133824,13.431,-1.13347859268477,75.672,72.024,79.362,
47,211049519,103733160,107316359,183241634,86.824,1.04568016584537,27807885,13.176,-1.16529399661524,75.881,72.243,79.555,
48,212559409,104435783,108123626,185081854,87.073,0.999249503269173,27477555,12.927,-1.19501239772363,,,,
49,32243753,15984826,16258927,25834340,80.122,1.04061858829188,6409413,19.878,0.557844254173616,80.1926829268293,77.9,82.6,
50,32571174,16150387,16420787,26126316,80.213,1.12384675481251,6444858,19.787,0.551491248878675,80.3439024390244,78.1,82.7,
51,32889025.0,16311491.0,16577534.0,26441461.0,80.396,1.19901884209158,6447564.0,19.604,0.0419781487099549,80.5439024390244,78.3,82.9,1326431.0
52,33247118,16492292,16754826,26789863,80.578,1.30902990520455,6457255,19.422,0.150191983656897,80.6951219512195,78.5,83,
53,33628895,16683829,16945066,27158023,80.758,1.36489394771959,6470872,19.242,0.210657043137183,80.9951219512195,78.8,83.3,
54,34004889,16871021,17133868,27522537,80.937,1.33326871439499,6482352,19.063,0.177253215195272,81.2463414634146,79.1,83.5,
55,34339328,17035831,17303497,27847821,81.096,1.17495264216968,6491507,18.904,0.141129967876975,81.4487804878049,79.4,83.6,
56,34714222.0,17219264.0,17494958.0,28166078.0,81.137,1.13636233305053,6548144.0,18.863,0.868694356405575,81.6487804878049,79.6,83.8,1241416.0
57,35082954,17399107,17683847,28479640,81.178,1.1071099946107,6603314,18.822,0.838999350897815,81.7487804878049,79.7,83.9,
58,35437435,17572607,17864828,28781576,81.218,1.05460141956621,6655859,18.782,0.792587517646634,81.8,79.8,83.9,
59,35702908,17703599,17999309,29011826,81.259,0.796807975480466,6691082,18.741,0.527807559356073,81.9,79.9,84,
60,36109487,17906490,18202997,29357013,81.3,1.18279215486163,6752474,18.7,0.913336125759693,81.9,79.9,84,
61,36545295.0,18125530.0,18419765.0,29729597.0,81.35,1.26116200732881,6815698.0,18.65,0.931952478221833,81.9,79.9,84.0,1210159.0
62,37065178,18387468,18677710,30175132,81.411,1.48750598693977,6890046,18.589,1.08492803121353,82.0487804878049,80,84.2,
63,37593384,18654019,18939365,30631841,81.482,1.50218820550071,6961543,18.518,1.0323383832027,82.0487804878049,80,84.2,
64,38005238,18862750,19142488,30997832,81.562,1.18772430444538,7007406,18.438,0.656644458992974,,,,
65,42647731,20901092,21746639,32422511,76.024,1.88259524436733,10225220,23.976,-0.32120770443209,74.265,71.085,77.43,
66,43200901,21171770,22029131,33015425,76.423,1.81219110019529,10185476,23.577,-0.389443360792884,74.5,71.354,77.63,
67,43737512.0,21434180.0,22303332.0,33597407.0,76.816,1.7474014871928,10140105.0,23.184,-0.446443084288362,74.732,71.621,77.825,-195000.0
68,44254972,21687044,22567928,34166609,77.204,1.67999307318997,10088363,22.796,-0.511577177722625,74.962,71.887,78.019,
69,44750054,21928840,22821214,34720224,77.587,1.60735192801903,10029830,22.413,-0.581892868412038,75.193,72.154,78.212,
70,45222699,22159658,23063041,35257425,77.964,1.53538039907775,9965274,22.036,-0.645720315409095,75.424,72.422,78.405,
71,45662747,22374122,23288625,35769913,78.335,1.4430975687191,9892834,21.665,-0.729579286435454,75.655,72.689,78.598,
72,46075721.0,22575015.0,23500706.0,36262053.0,78.701,1.36647015254699,9813668.0,21.299,-0.803454878728542,75.882,72.95,78.789,-193380.0
73,46495492,22780030,23715462,36759801,79.061,1.36330613922269,9735691,20.939,-0.797749057039641,76.105,73.205,78.978,
74,46967706,23013034,23954672,37299404,79.415,1.45724639899263,9668302,20.585,-0.694591787741767,76.322,73.45,79.164,
75,47520667,23288781,24231886,37904385,79.764,1.60894566343541,9616282,20.236,-0.539499593814073,76.531,73.686,79.346,
76,48175048,23618154,24556894,38592067,80.108,1.79799326101377,9582981,19.892,-0.346899080397621,76.732,73.91,79.523,
77,48909844.0,23990081.0,24919763.0,39346013.0,80.446,1.9347911041769,9563831.0,19.554,-0.2000333672829,76.925,74.124,79.694,1023981.0
78,49661056,24370780,25290276,40115208,80.778,1.93608660289417,9545848,19.222,-0.188208345188201,77.109,74.33,79.859,
79,50339443,24713193,25626250,40827302,81.104,1.75955099995645,9512141,18.896,-0.353731289768236,77.287,74.528,80.019,
80,50882884,24984564,25898320,41431388,81.425,1.46877335365461,9451496,18.575,-0.639594680486119,,,,
81,1147609924,597052213,550557711,335503761,29.235,2.72183174211269,812106163,70.765,1.11164776693103,64.5,63.689,65.357,
82,1165486291,606386475,559099816,344622641,29.569,2.68168577159924,820863650,70.431,1.07259434797976,64.918,64.091,65.793,
83,1183209471.0,615629520.0,567579951.0,353850624.0,29.906,2.64248337803077,829358847.0,70.094,1.02959110790375,65.35,64.499,66.253,-2655844.0
84,1200669762,624720983,575948779,363154576,30.246,2.59537148470971,837515186,69.754,0.978646728686219,65.794,64.91,66.735,
85,1217726217,633583576,584142641,372465918,30.587,2.53169655052216,845260299,69.413,0.920523000240269,66.244,65.32,67.231,
86,1234281163,642164181,592116982,381763164,30.93,2.46548884731456,852517999,69.07,0.854969605672736,66.693,65.723,67.73,
87,1250287939,650436593,599851346,391040056,31.276,2.40095729462256,859247883,68.724,0.786312981908638,67.13,66.115,68.218,
88,1265780243.0,658420351.0,607359892.0,400416922.0,31.634,2.36963095342624,865363321.0,68.366,0.709199107347279,67.545,66.488,68.68,-2350075.0
89,1280842119,666165661,614676458,409907903,32.003,2.34261983514164,870934216,67.997,0.641700399588297,67.931,66.84,69.106,
90,1295600768,673747770,621852998,419567353,32.384,2.32915608060408,876033415,67.616,0.583778816634467,68.286,67.167,69.491,
91,1310152392,681223332,628929060,429428650,32.777,2.32315357822471,880723742,67.223,0.533976836350169,68.607,67.468,69.835,
92,1324517250,688604687,635912563,439501314,33.182,2.31851026568661,885015936,66.818,0.486164807590946,68.897,67.745,70.142,
93,1338676779.0,695880522.0,642796257.0,449795398.0,33.6,2.31521013771488,888881381.0,66.4,0.435814528961238,69.165,68.0,70.425,-2663434.0
94,1352642283,703055580,649586703,460304169,34.03,2.30946996598269,892338114,65.97,0.388131541253613,69.416,68.239,70.692,
95,1366417756,710129572,656288184,471031529,34.472,2.30375244091858,895386227,65.528,0.341005140874281,69.656,68.464,70.95,
96,1380004385,717100970,662903415,481980332,34.926,2.29782759107855,898024053,65.074,0.294168928507531,,,,
97,106005199,51836847,54168352,80890447,76.308,1.82420878524429,25114752,23.692,0.11167801180592,75.3,72.575,77.999,
98,107560155,52588297,54971858,82408288,76.616,1.8590281344028,25151867,23.384,0.147672580663442,75.296,72.532,78.035,
99,109170503.0,53381477.0,55789026.0,83973951.0,76.92,1.88206292256786,25196552.0,23.08,0.17750313761612,75.255,72.447,78.039,-562404.0
100,110815272,54200255,56615017,85573769,77.222,1.88721556631294,25241503,22.778,0.17824244769517,75.194,72.342,78.026,
101,112463886,55020935,57442951,87182004,77.52,1.86191341992348,25281882,22.48,0.159842847415204,75.128,72.233,78.004,
102,114092961,55825784,58267177,88781438,77.815,1.81796631467998,25311523,22.185,0.117173388078255,75.065,72.135,77.979,
103,115695468,56609424,59086044,90370887,78.111,1.7744572453399,25324581,21.889,0.0515758490797851,75.011,72.056,77.952,
104,117274156.0,57375324.0,59898832.0,91948802.0,78.405,1.73097530755872,25325354.0,21.595,0.0030523237593838,74.966,71.997,77.922,-422477.0
105,118827158,58125266,60701892,93515785,78.699,1.68983234295214,25311373,21.301,-0.0552207900612247,74.93,71.958,77.89,
106,120355137,58863834,61491303,95072133,78.993,1.65056526440047,25283004,21.007,-0.112142908580838,74.908,71.943,77.86,
107,121858251,59594171,62264080,96615314,79.285,1.61013604556509,25242937,20.715,-0.158599751358101,74.904,71.954,77.837,
108,123333379,60315359,63018020,98145003,79.577,1.5708748882209,25188376,20.423,-0.216377556093139,74.917,71.99,77.826,
109,124777326.0,61024503.0,63752823.0,99655907.0,79.867,1.52773148162835,25121419.0,20.133,-0.266178940038251,74.947,72.046,77.827,-300000.0
110,126190782,61720819,64469963,101149483,80.156,1.48761300066204,25041299,19.844,-0.319440697492789,74.992,72.118,77.844,
111,127575529,62403393,65172136,102626859,80.444,1.45002297233125,24948670,19.556,-0.370590771968483,75.054,72.203,77.879,
112,128932753,63071486,65861267,104088701,80.731,1.4143747761486,24844052,19.269,-0.42021464078884,,,,
113,160304007,82676228,77627779,54474508,33.982,2.88966738902095,105829499,66.018,1.99242178016137,63.951,63.102,64.89,
114,164022626,84575681,79446945,56069494,34.184,2.88590365371211,107953132,65.816,1.98678708850221,64.176,63.317,65.124,
115,167808106.0,86506754.0,81301352.0,57704173.0,34.387,2.87376075948203,110103933.0,65.613,1.97275951893816,64.42,63.552,65.374,-339805.0
116,171648984,88464386,83184598,59373384,34.59,2.85165518863777,112275600,65.41,1.95317978194375,64.685,63.809,65.644,
117,175525610,90439737,85085873,61070625,34.793,2.81849361978838,114454985,65.207,1.92250386071876,64.969,64.086,65.931,
118,179424643,92426989,86997654,62793242,34.997,2.78164748784569,116631401,65.003,1.88369413894623,65.264,64.377,66.228,
119,183340168,94423091,88917077,64539406,35.202,2.74285267681366,118800762,64.798,1.84292780718397,65.562,64.672,66.526,
120,187280125.0,96432134.0,90847991.0,66312147.0,35.408,2.70971100933162,120967978.0,64.592,1.80780448946846,65.849,64.959,66.813,-1079167.0
121,191260799,98463549,92797250,68113708,35.613,2.68053920361254,123147091,64.387,1.78536367438045,66.117,65.226,67.08,
122,195305012,100530360,94774652,69956302,35.819,2.66923048606493,125348710,64.181,1.77200306787877,66.36,65.468,67.323,
123,199426953,102640691,96786262,71845554,36.026,2.66479417191666,127581399,63.974,1.7655051055622,66.577,65.684,67.543,
124,203631356,104797415,98833941,73783786,36.234,2.66202738753606,129847570,63.766,1.76066396107088,66.77,65.872,67.742,
125,207906210.0,106993868.0,100912342.0,75765181.0,36.442,2.64998279797427,132141029.0,63.558,1.75085297338228,66.947,66.041,67.928,-1166895.0
126,212228288,109216763,103011525,77815624,36.666,2.67034000931371,134412664,63.334,1.70448960736984,67.114,66.194,68.109,
127,216565317,111447581,105117736,79927762,36.907,2.67810181020819,136637555,63.093,1.64171863042852,67.273,66.337,68.287,
128,220892331,113672007,107220324,82094635,37.165,2.67494154391561,138797696,62.835,1.56856123664991,,,,
129,295516599,145826206,149690393,236200507,79.928,1.13588459113456,59316092,20.072,0.0733898148736528,77.4878048780488,75,80.1,
130,298379912,147268698,151111214,238999326,80.099,1.17796815968651,59380586,19.901,0.108670280303657,77.6878048780488,75.2,80.3,
131,301231207.0,148697409.0,152533798.0,241795278.0,80.269,1.16306776101756,59435929.0,19.731,0.0931570901609545,77.9878048780488,75.5,80.6,5428756.0
132,304093966,150129032,153964934,244607104,80.438,1.15618567133535,59486862,19.562,0.0856572616332229,78.0390243902439,75.6,80.6,
133,306771529,151473510,155298019,247276259,80.606,1.08529029428822,59495270,19.394,0.0141332145804876,78.390243902439,76,80.9,
134,309327143,152766811,156560332,249849720,80.772,1.03534480069191,59477423,19.228,-0.0300018427486857,78.5414634146342,76.2,81,
135,311583481,153923475,157660006,252208133,80.944,0.93950541093758,59375348,19.056,-0.17176717755585,78.6414634146341,76.3,81.1,
136,313877662.0,155107653.0,158770009.0,254614421.0,81.119,0.94956550837067,59263241.0,18.881,-0.188989154899031,78.7414634146342,76.4,81.2,4961716.0
137,316059947,156240138,159819809,256953576,81.299,0.914510413562637,59106371,18.701,-0.265051290084759,78.7414634146342,76.4,81.2,
138,318386329,157439895,160946434,259430732,81.483,0.95943078191871,58955597,18.517,-0.255415159548918,78.8414634146341,76.5,81.3,
139,320738994,158643212,162095782,261950744,81.671,0.966674782180289,58788250,18.329,-0.284256234098651,78.690243902439,76.3,81.2,
140,323071755,159825817,163245938,264473000,81.862,0.958268060593122,58598755,18.138,-0.322855438046257,78.5390243902439,76.1,81.1,
141,325122128.0,160859432.0,164262696.0,266788716.0,82.058,0.871785260117191,58333412.0,17.942,-0.453841679756109,78.5390243902439,76.1,81.1,4774029.0
142,326838199,161719493,165118706,268844029,82.256,0.767437430461766,57994170,17.744,-0.58325455730801,78.6390243902439,76.2,81.2,
143,328329953,162462628,165867325,270737596,82.459,0.701867775195684,57592357,17.541,-0.695262032744607,78.7878048780488,76.3,81.4,
144,329484123,163034623,166449500,272364755,82.664,0.599210762260319,57119368,17.336,-0.824661438105005,,,,
