Entity,Code,Year,Human Development Index
Argentina,ARG,2005,0.61
Argentina,ARG,2007,0.63
Argentina,ARG,2010,0.65
Argentina,ARG,2015,0.7
Bangladesh,BGD,2005,0.24
Bangladesh,BGD,2007,0.27
Bangladesh,BGD,2010,0.29
Bangladesh,BGD,2015,0.33
Brazil,BRA,2005,0.49
Brazil,BRA,2007,0.49
Brazil,BRA,2010,0.51
Brazil,BRA,2015,0.54
Canada,CAN,2005,0.82
Canada,CAN,2007,0.83
Canada,CAN,2010,0.85
Canada,CAN,2015,0.88
Colombia,COL,2005,0.48
Colombia,COL,2007,0.5
Colombia,COL,2010,0.53
Colombia,COL,2015,0.55
India,IND,2005,0.29
India,IND,2007,0.31
India,IND,2010,0.33
India,IND,2015,0.38
Mexico,MEX,2005,0.5
Mexico,MEX,2007,0.51
Mexico,MEX,2010,0.52
Mexico,MEX,2015,0.54
Pakistan,PAK,2005,0.26
Pakistan,PAK,2007,0.28
Pakistan,PAK,2010,0.29
Pakistan,PAK,2015,0.29
United States,USA,2005,0.74
United States,USA,2007,0.75
United States,USA,2010,0.77
United States,USA,2015,0.78
