quality_of_life_indexEntity,Code,Year,Quality of Life Index
Argentina,ARG,2012,32.58
Argentina,ARG,2013,72.53
Argentina,ARG,2014,81.12
Argentina,ARG,2015,77.01
Bangladesh,BGD,2012,
Bangladesh,BGD,2013,
Bangladesh,BGD,2014,
Bangladesh,BGD,2015,-5.36
Brazil,BRA,2012,10.81
Brazil,BRA,2013,48.21
Brazil,BRA,2014,38.76
Brazil,BRA,2015,29.84
Canada,CAN,2012,171.72
Canada,CAN,2013,186.03
Canada,CAN,2014,178.29
Canada,CAN,2015,177.63
Colombia,COL,2012,23.38
Colombia,COL,2013,35.05
Colombia,COL,2014,36.53
Colombia,COL,2015,47.71
India,IND,2012,44.01
India,IND,2013,73.70
India,IND,2014,78.01
India,IND,2015,78.60
Mexico,MEX,2012,60.31
Mexico,MEX,2013,87.94
Mexico,MEX,2014,83.47
Mexico,MEX,2015,84.97
Pakistan,PAK,2012,-3.05
Pakistan,PAK,2013,7.67
Pakistan,PAK,2014,22.32
Pakistan,PAK,2015,21.82
United States,USA,2012,140.62
United States,USA,2013,199.56
United States,USA,2014,195.55
United States,USA,2015,192.49
